Region,Year,Category,Total
Africa,1998,Unsentenced,1160.0
Africa,1999,Unsentenced,20860.0
Africa,2000,Unsentenced,148046.0
Africa,2001,Unsentenced,29903.0
Africa,2002,Unsentenced,15297.0
Africa,2003,Sentenced,35098.0
Africa,2003,Unsentenced,44538.7
Africa,2004,Sentenced,62285.0
Africa,2004,Unsentenced,54611.0
Africa,2005,Sentenced,62074.0
Africa,2005,Unsentenced,270209.8
Africa,2006,Sentenced,71892.0
Africa,2006,Unsentenced,73023.0
Africa,2007,Sentenced,105169.0
Africa,2007,Unsentenced,102610.4
Africa,2008,Sentenced,156909.0
Africa,2008,Unsentenced,165825.4
Africa,2009,Sentenced,118950.0
Africa,2009,Unsentenced,153583.0
Africa,2010,Sentenced,166824.0
Africa,2010,Unsentenced,254760.8
Africa,2011,Sentenced,166575.0
Africa,2011,Unsentenced,154356.5
Africa,2012,Sentenced,150528.0
Africa,2012,Unsentenced,147949.2
Africa,2013,Sentenced,188863.0
Africa,2013,Unsentenced,464526.0
Africa,2014,Sentenced,188603.0
Africa,2014,Unsentenced,556352.046
Africa,2015,Sentenced,188486.0
Africa,2015,Unsentenced,572707.0
Africa,2016,Sentenced,214165.0
Africa,2016,Unsentenced,477434.0
Africa,2017,Sentenced,255181.0
Africa,2017,Unsentenced,557799.0
Africa,2018,Sentenced,131369.0
Africa,2018,Unsentenced,289302.0
Africa,2019,Sentenced,135065.0
Africa,2019,Unsentenced,352991.0
Africa,2020,Sentenced,125513.0
Africa,2020,Unsentenced,244809.0
Africa,2021,Sentenced,134049.0
Africa,2021,Unsentenced,507855.0
Africa,2022,Unsentenced,189003.0
Americas,1999,Unsentenced,21323.0
Americas,2000,Unsentenced,561949.0
Americas,2001,Unsentenced,30964.0
Americas,2002,Unsentenced,32772.0
Americas,2003,Sentenced,200485.0
Americas,2003,Unsentenced,651098.3091
Americas,2004,Sentenced,1942729.0
Americas,2004,Unsentenced,644340.4491000001
Americas,2005,Sentenced,2004123.0
Americas,2005,Unsentenced,876618.12
Americas,2006,Sentenced,2066055.0
Americas,2006,Unsentenced,904403.1309
Americas,2007,Sentenced,2076546.0
Americas,2007,Unsentenced,921682.6799999999
Americas,2008,Sentenced,2114151.0
Americas,2008,Unsentenced,879611.9199999999
Americas,2009,Sentenced,2399553.0
Americas,2009,Unsentenced,926842.0
Americas,2010,Sentenced,2438899.0
Americas,2010,Unsentenced,973635.0
Americas,2011,Sentenced,2464034.0
Americas,2011,Unsentenced,942455.0
Americas,2012,Sentenced,2479941.0
Americas,2012,Unsentenced,12647871.96
Americas,2013,Sentenced,2510094.0
Americas,2013,Unsentenced,12884367.0
Americas,2014,Sentenced,3151362.0
Americas,2014,Unsentenced,12731735.0
Americas,2015,Sentenced,3255298.0
Americas,2015,Unsentenced,12390609.25
Americas,2016,Sentenced,4255093.0
Americas,2016,Unsentenced,12572531.0
Americas,2017,Sentenced,3783627.0
Americas,2017,Unsentenced,12621760.0
Americas,2018,Sentenced,3314798.9
Americas,2018,Unsentenced,12767799.0
Americas,2019,Sentenced,3319669.8
Americas,2019,Unsentenced,12300256.1
Americas,2020,Sentenced,2116366.5
Americas,2020,Unsentenced,10008352.5
Americas,2021,Sentenced,2222273.0
Americas,2021,Unsentenced,8316355.0
Americas,2022,Unsentenced,242475.0
Asia,1999,Unsentenced,109949.0
Asia,2000,Unsentenced,360301.0
Asia,2001,Unsentenced,44668.0
Asia,2002,Unsentenced,4262.0
Asia,2003,Sentenced,237167.0
Asia,2003,Unsentenced,134671.0
Asia,2004,Sentenced,362056.0
Asia,2004,Unsentenced,417278.0
Asia,2005,Sentenced,533856.0
Asia,2005,Unsentenced,561008.0
Asia,2006,Sentenced,532068.0
Asia,2006,Unsentenced,508111.0
Asia,2007,Sentenced,344730.0
Asia,2007,Unsentenced,413673.0
Asia,2008,Sentenced,379708.0
Asia,2008,Unsentenced,438812.0
Asia,2009,Sentenced,553512.0
Asia,2009,Unsentenced,528304.0
Asia,2010,Sentenced,2074049.0
Asia,2010,Unsentenced,651509.0
Asia,2011,Sentenced,2067449.0
Asia,2011,Unsentenced,432692.5
Asia,2012,Sentenced,448274.0
Asia,2012,Unsentenced,859788.0
Asia,2013,Sentenced,2130303.0
Asia,2013,Unsentenced,890989.0
Asia,2014,Sentenced,2333034.0
Asia,2014,Unsentenced,775475.0
Asia,2015,Sentenced,2293230.0
Asia,2015,Unsentenced,1051892.0
Asia,2016,Sentenced,2025652.0
Asia,2016,Unsentenced,1115301.0
Asia,2017,Sentenced,519396.0
Asia,2017,Unsentenced,652618.0
Asia,2018,Sentenced,2365138.0
Asia,2018,Unsentenced,825929.0
Asia,2019,Sentenced,1013758.0
Asia,2019,Unsentenced,1383432.0
Asia,2020,Sentenced,919773.0
Asia,2020,Unsentenced,836082.0
Asia,2021,Sentenced,672762.0
Asia,2021,Unsentenced,963148.0
Asia,2022,Unsentenced,118734.0
Europe,2000,Unsentenced,428043.0
Europe,2001,Unsentenced,1571.0
Europe,2003,Sentenced,428684.0
Europe,2003,Unsentenced,158041.0
Europe,2004,Sentenced,1068381.0
Europe,2004,Unsentenced,231547.0
Europe,2005,Sentenced,1283338.0
Europe,2005,Unsentenced,263491.4125
Europe,2006,Sentenced,1353636.0
Europe,2006,Unsentenced,250497.0
Europe,2007,Sentenced,1253900.0
Europe,2007,Unsentenced,245058.0
Europe,2008,Sentenced,1283138.0
Europe,2008,Unsentenced,237429.0
Europe,2009,Sentenced,1281764.0
Europe,2009,Unsentenced,239072.0
Europe,2010,Sentenced,1389690.0
Europe,2010,Unsentenced,263171.3375
Europe,2011,Sentenced,1344636.0
Europe,2011,Unsentenced,248631.0
Europe,2012,Sentenced,1168704.0
Europe,2012,Unsentenced,668165.0
Europe,2013,Sentenced,1186792.0
Europe,2013,Unsentenced,924021.0
Europe,2014,Sentenced,1425877.0
Europe,2014,Unsentenced,909302.004
Europe,2015,Sentenced,1366451.0
Europe,2015,Unsentenced,806599.0
Europe,2016,Sentenced,1473025.0
Europe,2016,Unsentenced,766059.152
Europe,2017,Sentenced,1486224.0
Europe,2017,Unsentenced,822797.0
Europe,2018,Sentenced,1465701.0
Europe,2018,Unsentenced,777250.0
Europe,2019,Sentenced,1424006.0
Europe,2019,Unsentenced,763002.0
Europe,2020,Sentenced,1072801.0
Europe,2020,Unsentenced,569222.0
Europe,2021,Sentenced,1070771.0
Europe,2021,Unsentenced,556459.0
Europe,2022,Unsentenced,88545.0
Europe,2023,Unsentenced,2149.0
Oceania,1999,Unsentenced,51.0
Oceania,2000,Unsentenced,6025.0
Oceania,2002,Unsentenced,6.0
Oceania,2003,Sentenced,23881.0
Oceania,2003,Unsentenced,5849.0
Oceania,2004,Sentenced,24826.0
Oceania,2004,Unsentenced,5994.0
Oceania,2005,Sentenced,6094.0
Oceania,2005,Unsentenced,8088.15
Oceania,2006,Sentenced,6198.0
Oceania,2006,Unsentenced,1339.0
Oceania,2007,Sentenced,27136.0
Oceania,2007,Unsentenced,7573.0
Oceania,2008,Sentenced,27503.0
Oceania,2008,Unsentenced,7904.0
Oceania,2009,Sentenced,29418.0
Oceania,2009,Unsentenced,10683.05
Oceania,2010,Sentenced,30086.0
Oceania,2010,Unsentenced,8510.0
Oceania,2011,Sentenced,29009.0
Oceania,2011,Unsentenced,8886.0
Oceania,2012,Sentenced,29219.0
Oceania,2012,Unsentenced,9875.0
Oceania,2013,Sentenced,29993.0
Oceania,2013,Unsentenced,29829.0
Oceania,2014,Sentenced,32266.0
Oceania,2014,Unsentenced,31045.5
Oceania,2015,Sentenced,32929.0
Oceania,2015,Unsentenced,37411.5
Oceania,2016,Sentenced,33743.0
Oceania,2016,Unsentenced,31359.974000000002
Oceania,2017,Sentenced,52826.0
Oceania,2017,Unsentenced,77125.0
Oceania,2018,Sentenced,59923.0
Oceania,2018,Unsentenced,91947.0
Oceania,2019,Sentenced,59658.0
Oceania,2019,Unsentenced,97316.0
Oceania,2020,Sentenced,56011.0
Oceania,2020,Unsentenced,88603.0
Oceania,2021,Sentenced,54302.0
Oceania,2021,Unsentenced,90647.0
Oceania,2022,Unsentenced,3642.0
